,date,year,co2_pg,ch4_tg,n2o_tg,co2_forcing_rcp,ch4_forcing_rcp,n2o_forcing_rcp,total_forcing_rcp,rcp_co2_ppm,rcp_ch4_ppb,rcp_n2o_ppb,co2_pg_atm,ch4_tg_atm,n2o_tg_atm,ch4_co2_decay_marginal,co2_ppm,ch4_ppb,n2o_ppb,co2_forcing,ch4_forcing,n2o_forcing,total_forcing_ghg,rcp_nonghg_forcing,total_forcing,t_os,t_eq,t_s
638,638.0,2403.0,2.21191634,269.47287,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1560.9586816279896,2561.357341399067,1239.9948379233997,0.0,475.09753945719274,1609.0364421553986,429.48903991787216,2.8860557029663463,0.41823515199437145,0.47498103413450293,3.7792718890952206,-0.2253796699999988,3.553892219095222,2.534299563304769,2.8431137752761773,2.623855684776477
639,639.0,2404.0,2.2087381199999996,269.4808,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1560.5124280276482,2561.4410993805222,1240.0801971122012,0.0,475.0412071084411,1609.0654522625805,429.4998151443108,2.8854213154786996,0.41824649963242255,0.47501037166991367,3.7786781867810357,-0.2253796699999988,3.553298516781037,2.5342132175568373,2.8426388134248297,2.623656640358555
640,640.0,2405.0,2.2055599,269.48872,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1560.0701519412833,2561.524062096926,1240.1648108106633,0.0,474.985376856937,1609.0941869246765,429.51049626456904,2.884792508135975,0.4182577394229303,0.4750394526162635,3.778089700175169,-0.2253796699999988,3.55271003017517,2.5341284221984606,2.842168024140136,2.6234599067615463
641,641.0,2406.0,2.20238168,269.49664,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1559.631809904577,2561.6062961793805,1240.2486855295774,0.0,474.9300432160086,1609.122669219791,429.5210841005299,2.884169221108422,0.41826888039593324,0.47506827922089895,3.7775063807252547,-0.2253796699999988,3.552126710725256,2.5340451991055395,2.8417013685802046,2.6232654882531925
642,642.0,2407.0,2.19920346,269.50457,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1559.1973612670822,2561.6878709665752,1240.3318277228716,0.0,474.87520105419003,1609.1509231638179,429.5315794668979,2.8835513985225285,0.4182799319479308,0.475096853711426,3.7769281841818856,-0.2253796699999988,3.5515485141818868,2.5339635644526437,2.8412388113455096,2.623073386051575
643,643.0,2408.0,2.19602524,269.51249,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1558.766767076836,2561.7688582471214,1240.4142437881094,0.0,474.8208454544215,1609.1789736211977,429.5419831712628,2.8829389868774586,0.418290903806966,0.47512517829588763,3.7763550689803123,-0.2253796699999988,3.5509753989803134,2.5338835304454657,2.8407803191842507,2.6228835991797133
644,644.0,2409.0,2.1928470200000003,269.52042,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1558.3399895785456,2561.849304881296,1240.4959400669795,0.0,474.76697165070385,1609.206836822283,429.55229601416085,2.8823319343331715,0.4183018023235604,0.47515325516293283,3.7757869918196647,-0.2253796699999988,3.550407321819666,2.5338051063776725,2.8403258574557326,2.62269612419031
645,645.0,2410.0,2.1896687999999997,269.52834,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1557.9169919769781,2561.9292713667774,1240.5769228457857,0.0,474.71357499823,1609.234533720829,429.562518789137,2.88173019037529,0.41831263569550003,0.4751810864819925,3.7752239125527822,-0.2253796699999988,3.5498442425527834,2.5337282990422603,2.8398753940422266,2.6225109565922504
646,646.0,2411.0,2.18649058,269.53626,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1557.4977383155024,2562.00879434738,1240.65719835593,0.0,474.66065095805277,1609.2620770086519,429.5726522828057,2.8811337056435575,0.418323408888734,0.47520867440344394,3.7746657889357356,-0.2253796699999988,3.5492861189357368,2.533653113416172,2.8394288951485893,2.622328090118573
647,647.0,2412.0,2.18331236,269.54419,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1557.08219340527,2562.0879160281747,1240.7367727743917,0.0,474.6081950881454,1609.2894813037456,429.58269727491125,2.880542431832226,0.4183341276224155,0.47523602105878304,3.7741125805134246,-0.2253796699999988,3.5487329105134258,2.533579552762015,2.8389863284107406,2.622147517700145
648,648.0,2413.0,2.18013414,269.55211,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1556.6703227770452,2562.16668364626,1240.8156522242034,0.0,474.5562030373204,1609.3167629669783,429.59265453838816,2.87995632162257,0.4183447982971771,0.4752631285607888,3.7735642484805356,-0.2253796699999988,3.548184578480537,2.533507619021731,2.8385476627844293,2.6219692317129133
649,649.0,2414.0,2.17695592,269.56004,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1556.2620926437783,2562.245121846784,1240.8938427749213,0.0,474.50467054050574,1609.3439305343531,429.60252483942054,2.8793753286306445,0.4183554242529213,0.4752899990036904,3.7730207518872563,-0.2253796699999988,3.5476410818872575,2.533437313104557,2.838112865509806,2.6217932233020793
650,650.0,2415.0,2.1737777,269.56796,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1555.8574698686077,2562.3232710263464,1240.9713504430931,0.0,474.45359341470476,1609.3709979974876,429.61230893750064,2.8787994073627057,0.41836601096323756,0.4753166344633279,3.7724820527892713,-0.2253796699999988,3.5471023827892725,2.5333686348206297,2.837681906231418,2.6216194835297584
651,651.0,2416.0,2.17059948,269.57588,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1555.4564219360198,2562.4011496405546,1241.0481811927202,0.0,474.4029675553561,1609.3979717485988,429.6220075854882,2.878228513175084,0.41837656092925835,0.475343036997319,3.7719481111016617,-0.2253796699999988,3.546568441101663,2.5333015832478547,2.8372547528813303,2.6214480024415625
652,652.0,2417.0,2.16742126,269.58381,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1555.0589169251643,2562.4787834371054,1241.1243409357176,0.0,474.35278893296527,1609.4248607055642,429.6316215296672,2.877662602237089,0.41838707763984934,0.475369208645215,3.7714188885221533,-0.2253796699999988,3.5460392185221545,2.533236156610535,2.8368313748177236,2.6212787698906195
653,653.0,2418.0,2.16424304,269.59173,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1554.664923484793,2562.5562047618537,1241.1998355323674,0.0,474.3030535899408,1609.4516760715758,429.6411515098043,2.877101631496178,0.4183975654775651,0.4753951514286639,3.7708943484024076,-0.2253796699999988,3.5455146784024087,2.5331723525097543,2.836411742721927,2.6211117756712845
654,654.0,2419.0,2.16106482,269.59966000000003,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1554.2744108096088,2562.6334247857917,1241.274670791771,0.0,474.2537576376087,1609.4784217157771,429.65059825920514,2.8765455586451005,0.4184080259564027,0.4754208673515665,3.77037445195307,-0.2253796699999988,3.544994781953071,2.5331101680880113,2.835995825562457,2.620947008755601
655,655.0,2420.0,2.1578866000000003,269.60758,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1553.8873486178916,2562.7104717135962,1241.348852472296,0.0,474.20489725338837,1609.5051074070366,429.6599625047711,2.8759943420908263,0.418418462897715,0.47544635840023364,3.769859163388775,-0.2253796699999988,3.544479493388776,2.533049599867403,2.8355835947110206,2.620784458372052
656,656.0,2421.0,2.15470838,269.6155,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1553.503707130235,2562.78735296917,1241.4223862820177,0.0,474.1564686781079,1609.53173571667,429.6692449670552,2.87544794092502,0.4184288773077507,0.47547162654354186,3.769348444776312,-0.2253796699999988,3.5439687747763133,2.5329906440411967,2.8351750198210506,2.6206241130173544
657,657.0,2422.0,2.15153016,269.62343,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1553.1234570494448,2562.8640843183093,1241.4952778791608,0.0,474.1084682134673,1609.558312105261,429.6784463603172,2.8749063148961413,0.4184392713227091,0.4754966737330849,3.7688422599519353,-0.2253796699999988,3.5434625899519365,2.53293329629211,2.8347700719615494,2.6204659612362473
658,658.0,2423.0,2.14835194,269.63135,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1552.74656954141,2562.9406890748724,1241.5675328725329,0.0,474.0608922196231,1609.5848446477114,429.687567392579,2.8743694243829028,0.4184496481011625,0.47552150190332937,3.7683405743873943,-0.2253796699999988,3.5429609043873955,2.5328775519736464,2.8343687235099164,2.620309991719165
659,659.0,2424.0,2.1451737200000003,269.63928,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1552.3730162169597,2563.0171702373614,1241.6391568219565,0.0,474.0137371128985,1609.6113343825718,429.6966087656791,2.8738372303691,0.41846000804971806,0.47554611297176413,3.7678433513905825,-0.2253796699999988,3.5424636813905837,2.532823406234408,2.833970945112467,2.620156192509045
660,660.0,2425.0,2.1419955,269.6472,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1552.0027691146488,2563.09354861568,1241.7101552386973,0.0,473.9669993636104,1609.6377885174843,429.705571175326,2.8733096944197443,0.4184703539876268,0.4755705088390489,3.76735055724642,-0.2253796699999988,3.5419708872464213,2.532770853822793,2.833576709797137,2.6200045520553528
661,661.0,2426.0,2.13881728,269.65512,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1551.6358006844077,2563.169824942663,1241.7805335858884,0.0,473.92067549400485,1609.66420730627,429.71445531115256,2.872786778658393,0.41848068601451016,0.475594691389165,3.7668621560620683,-0.2253796699999988,3.5414824860620695,2.5327198893504783,2.833185988849656,2.61985505820524
662,662.0,2427.0,2.13563906,269.66305,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1551.272083772004,2563.246008929779,1241.8502972789495,0.0,473.8747620762963,1609.6905941125585,429.7232618567686,2.8722684457456222,0.41849100544617424,0.47561866248956064,3.766378113681357,-0.2253796699999988,3.5409984436813584,2.532670507086979,2.832798754945087,2.61970769896583
663,663.0,2428.0,2.13246084,269.67097,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1550.9115916043147,2563.3221184127005,1241.9194516860045,0.0,473.829255730808,1609.7169551138475,429.7319914898135,2.8717546588586305,0.4185013146988227,0.4756424239912975,3.7658983975487503,-0.2253796699999988,3.5405187275487515,2.532622701120771,2.832414982039001,2.6195624625870577
664,664.0,2429.0,2.1292826199999997,269.6789,11.011105536517459,3.6019318999999994,0.39835819,0.33619068,4.1111011,542.95532,1541.6471,379.49266,1550.554297775306,2563.3981514330667,1241.988002128295,0.0,473.78415312420236,1609.7432896318464,429.7406448820085,2.8712453816718213,0.4185116135074505,0.47566597772919633,3.7654229729084685,-0.2253796699999988,3.5400433029084697,2.5325764654662812,2.832034642326776,2.6194193367558247
